processedtransactionid,acceptorcountrycode,acceptorpostalcode,acceptorstatecode,acceptorstreetaddress,authdate,authday,authenticationindicator,authenticationvalue,authhour,authmonth,authorizationtype,authresult,authtimestamp,authweekofyear,authyear,avs_rslt,brandcardtype,brandcategory,brandcode,branddescription,card_brnd_tr,cardbrand,cardbrand_bindb,cardcommercial,cardexpirymonth,cardexpiryyear,cardissuetype,cardissuetypeid,cardprepaid,cardproduct_bindb,cardschemaid,cardschemaname,cardsubtype,cardsubtypeid,cardtype,cardtype_bindb,cardusage,cardusageid,categorycodegroup,channel,channelname,channelsubtype,channelsubtypename,country_mid,countryid,countryname,cv2_rslt,cvvresponse,cvvresult,ddresult,detailedcode,transactiontype,detailedmessage,eci_sli,effectivedwoindicator,ext_rc,firstsixdigits,fraudflag,fraudimportdate,fraudreportdate,initialrecurring,int_rc,internalamount,iscommercial,isprepaid,isprivatelabel,issuercode,issuercountry,issuercountrycode,issuerid,memberid,originalamount,originalcurrencyid,parenttransactionid,pos_mode,processorid,productcode,productdescription,productsubcode,recurringpayments,reg,resp_code,servicetypeid,servicetypename,submerchantid,threedsecureenrollmentid,threedxid,ucaf_ind,use3dsecure,vbv_rslt,avsthere,cv2there,expthere,threedthere,cb_flag,fraud_related_cb_flag,doublelabel_cb,timestamp,cardexpirydate,submerchant,timestamp_unix,euramount,threedsused,recurring,cvvused,cardprivate,pinaccess,signatureaccess,diffcardexpirydate,diffcardexpirydatebucketed,difffirsttimestampmerch,diffprevtimestampmerch,avginternalamountmerch,stddevinternalamountmerch,avgdiffprevtimestampmerch,stddevdiffprevtimestampmerch,fraudratiomerch,difffirsttimestampmcc,diffprevtimestampmcc,avginternalamountmcc,stddevinternalamountmcc,avgdiffprevtimestampmcc,stddevdiffprevtimestampmcc,fraudratiomcc,difffirsttimestampcard,diffprevtimestampcard,avginternalamountcard,stddevinternalamountcard,avgdiffprevtimestampcard,stddevdiffprevtimestampcard,fraudratiocard,difffirsttimestampcountry,diffprevtimestampcountry,avginternalamountcountry,stddevinternalamountcountry,avgdiffprevtimestampcountry,stddevdiffprevtimestampcountry,fraudratiocountry,avginternalamountmerch50,stddevinternalamountmerch50,avgdiffprevtimestampmerch50,stddevdiffprevtimestampmerch50,dispAvgInternalamountmerch50,dispAvgprevtsdiffmerch50,avginternalamountmcc50,stddevinternalamountmcc50,avgdiffprevtimestampmcc50,stddevdiffprevtimestampmcc50,dispAvgInternalamountmcc50,dispAvgprevtsdiffmcc50,avginternalamountcard50,stddevinternalamountcard50,avgdiffprevtimestampcard50,stddevdiffprevtimestampcard50,dispAvgInternalamountcard50,dispAvgprevtsdiffcard50,avginternalamountcountry50,stddevinternalamountcountry50,avgdiffprevtimestampcountry50,stddevdiffprevtimestampcountry50,dispAvgInternalamountcountry50,dispAvgprevtsdiffcountry50,bool2x_Avginternalamountcard50,bool2x_curr_Avginternalamountcard,bool2x_Avgdiffprevtimestampcard50,bool2x_Avginternalamountmerch50,bool2x_curr_Avginternalamountmerch,bool2x_Avgdiffprevtimestampmerch50,bool2x_Avginternalamountmcc50,bool2x_curr_Avginternalamountmcc,bool2x_Avgdiffprevtimestampmcc50,bool2x_Avginternalamountcountry50,bool2x_curr_Avginternalamountcountry,bool2x_Avgdiffprevtimestampcountry50,cardaccess,acceptorcountry,processor,digitalwalletoperator,avsused,avsresult,eci,cavvresult,ucafindicator,currency,cardcountry,posentrymode,mcccode,merchantcountry,midcountry,threedsused_index,initialrecurring_index,recurring_index,acceptorpostalcode_index,cvvused_index,cardprepaid_index,cardcommercial_index,cardprivate_index,pinaccess_index,signatureaccess_index,bool2x_Avginternalamountcard50_index,bool2x_curr_Avginternalamountcard_index,bool2x_Avgdiffprevtimestampcard50_index,bool2x_Avginternalamountmerch50_index,bool2x_curr_Avginternalamountmerch_index,bool2x_Avgdiffprevtimestampmerch50_index,bool2x_Avginternalamountmcc50_index,bool2x_curr_Avginternalamountmcc_index,bool2x_Avgdiffprevtimestampmcc50_index,bool2x_Avginternalamountcountry50_index,bool2x_curr_Avginternalamountcountry_index,bool2x_Avgdiffprevtimestampcountry50_index,transactiontype_index,cardaccess_index,channel_index,channelsubtype_index,acceptorcountry_index,acceptorstatecode_index,processor_index,cvvresult_index,ddresult_index,digitalwalletoperator_index,avsused_index,avsresult_index,eci_index,cavvresult_index,ucafindicator_index,currency_index,cardbrand_index,brandcardtype_index,cardcountry_index,cardtype_index,posentrymode_index,mcccode_index,merchantcountry_index,midcountry_index,prediction,prob1,prob2,rawpred1,rawpred2,rank
1937200469,826,EC2Y 9DT,"",1 Fore Street,2019-08-01,1,"","",0,8,"",0,2019-08-01 00:00:00,31,2019,"",VisaDebit,Visa,005,VISA.,"",14,VISA,false,3,2022,Debit,2,false,CLASSIC,2,Visa,CLASSIC,3,VisaDebit,DEBIT,"","",7399,1,ECOM,"","",United Kingdom,840,United States,"","",0,0,00,Capture,Approved,"",0,"",474473,"","","","","",38.464027,false,false,false,"",United States,840,438599,5008305,42.890000,840,1937200455,"",21,F,Visa Classic,"",true,"","",2,Debit,"","","","",true,"","","","","","","",0.0,2019-08-01T00:00:00.000Z,2022-03-31,none,1564617600,38.464027,true,true,true,false,none,none,973,2,212,114,190.5360777130,645.6134669086332,92.97198268204912,184.89841997647972,0.007784761446007785,212,35,115.4211846273,486.49207989626376,30.36840342599071,44.46824445603585,0.006461138257109713,196,525633,64.5087092174,69.31144514508493,742716.695652174,528830.6929530672,0.0,212,3,51.7022180195,481.14120449855835,2.9408084008413558,4.268657990035122,0.0,164.9831266,279.0976999682377,172.54,228.69498535501518,-0.03957933411047673,0.430333679044269,113.63778528,231.6561049177595,57.82,71.51785562689493,-0.003665834287950321,0.6173303423558737,64.5087092174,69.31144514508493,742716.695652174,528830.6929530672,0.0,0.0,64.39231512,119.12326268305041,2.3,2.1213203435596424,0.02637499549373562,-0.15011940575639407,false,false,false,false,false,false,false,false,false,false,false,false,none,826,21,none,false,none,none,none,none,840,840,none,7399,840,826,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.589051,0.41094896,0.18002188,-0.18002188,1
1937200481,470,STJ 1081,"",62/63 Morina Court Suite 4,2019-08-01,1,"","",0,8,"",0,2019-08-01 00:00:02,31,2019,"",MasterCardDebit,Mastercard,010,MasterCard,"",1,MASTERCARD,false,8,2021,Debit,2,false,STANDARD,1,MasterCard,CIRRUS,65,MasterCard,DEBIT,"","",7995,1,ECOM,"","",Malta,36,Australia,"","",0,0,00,Capture,Approved,"",0,"",516361,"","","","","",123.454049,false,false,false,"",Australia,36,0001529,5015131,200.000000,36,1937174591,"",21,MDS,Debit Mastercard Card,MDS,false,"","",2,Debit,"","","","",true,"","","","","","","",0.0,2019-08-01T00:00:02.000Z,2021-08-31,none,1564617602,123.454049,true,false,true,false,none,none,761,2,212,296,35.4627114448,67.52853279738157,30.761102191889403,120.71300706275233,0.0016408522487134226,212,4,46.8645965342,149.40968644266465,1.1172712067867574,2.3918800957132293,0.0023676831909992613,212,598,33.0848234872,35.13966160209629,12167.340357598978,27525.30155440773,0.0,212,8,36.0627748220,122.19512142387903,5.084034103257363,7.2755896192970715,0.005907451180179134,35.03625892,48.33592114777065,24.06,80.56013345346949,-0.006315145718915044,-0.055512677174928256,38.2724939,42.662429165559935,1.22,1.729574679344194,-0.05750699863423634,0.04294897281738954,54.83933444,45.521930927694584,4511.84,5789.10689372193,0.6190870930726954,-0.2781259396002175,33.97869556,50.57213773811865,5.1,5.218686987887952,-0.01705533934346366,0.0021944471277339007,false,true,false,false,true,false,false,true,false,false,true,false,none,470,21,none,false,none,none,none,none,36,036,none,7995,036,470,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.85977054,0.14022945,0.9066928,-0.9066928,2
1937200479,196,2064,"","Prodromou & Zinonos Kitieos 2, Palaceview House",2019-08-01,1,4,AAABB2OSMAAAAFdXR5IwEAAAAAA=,0,8,"",0,2019-08-01 00:00:02,31,2019,"",VisaDebit,Visa,005,VISA.,VISA.,14,VISA,false,8,2021,Debit,2,false,CLASSIC,2,Visa,CLASSIC,3,VisaDebit,DEBIT,NON USA CONSUMER DEBIT - NO PIN ACCESS,9,7995,1,ECOM,"","",Cyprus,36,Australia,M,M,1,1,00,Payment,Approved,05,0,00,434968,"","","","","",12.345405,false,false,false,11027,Australia,36,434968,146395,20.000000,36,"",812,21,F,Visa Classic,"",false,Foreign - REST,Transaction approved,2,Debit,"",83448100,M01iOFNZaXE2U3ZVbVd0ZWFQVTA=,0,true,2,1,1,1,1,"","",0.0,2019-08-01T00:00:02.000Z,2021-08-31,none,1564617602,12.345405,true,false,true,false,false,none,761,2,111,8,28.0451289562,58.99562714108327,10.989306098687624,266.3505919043284,0.0018645948945615982,212,0,46.8646012059,149.40968308329516,1.1172713826242213,2.391880128725551,0.0023676831909992613,107,1506,15.9825539601,16.749702924490443,33074.47840531562,92925.30448130744,0.0,212,0,36.0627990784,122.19511313942878,5.084034912612995,7.2755887717800825,0.005907451180179134,29.44996334,47.25514935552228,8.3,7.859090667656721,0.02381251716233905,-0.010096865486424775,40.24775868,44.27659166342495,1.3,1.7641555764612096,-0.044286570919310146,0.07639539088154085,22.11071742,31.38781733084237,41212.5,88200.21640753915,0.3658669940312646,0.08757594758617553,33.97869556,50.572137738118656,5.14,5.233370163222369,-0.017055539005246194,0.007692172983178663,false,false,false,false,false,false,false,false,false,false,false,false,none,196,21,none,true,none,05,2,0,36,036,812,7995,036,196,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,3.0,0.0,0.8782987,0.1217013,0.98820853,-0.98820853,3
1937200485,826,NE30 1AR,"",Howard Street 29,2019-08-01,1,"","",0,8,"",0,2019-08-01 00:00:04,31,2019,"",Visa,Visa,067,Visa Gold,Visa Gold,2,VISA,false,6,2022,Credit,1,false,GOLD,2,Visa,CLASSIC,3,Visa,CREDIT,"","",5967,1,ECOM,"","",United Kingdom,392,Japan,"","",0,1,00,Payment,Approved,07,0,00,489788,"","","","","",123.922124,false,false,false,"",Japan,392,489783,5007933,15000.000000,392,"",812,21,P,Visa Gold,"",false,Foreign - REST,Transaction approved,1,Credit,"","","",0,true,"",0,0,1,1,"","",0.0,2019-08-01T00:00:04.000Z,2022-06-30,none,1564617604,123.922124,true,false,false,false,none,none,1064,2,212,349,207.5312552604,657.585895263009,178.9826265389877,337.8546069237997,0.0019914153850294,212,5,31.4274470060,106.0501430744885,3.563837689925606,4.826975224247791,0.0,202,2150107,460.0143127451,732.4098342995228,313343.8431372549,409664.75069995335,0.0,212,12,158.1308072562,455.4721296671002,5.387506257577478,9.020805358872906,0.0011947868346433312,59.00907178,33.49390312273318,156.1,278.38647706425127,-0.22585974630887856,-0.06772921271471276,40.6170754,72.32527998391085,5.84,7.835971476440673,0.08665361618178391,0.4715504439799768,468.86809194,737.0835425132597,304751.6,409155.488154789,0.012088558591471852,-0.020973840494145992,150.05281912,250.73272950221084,6.94,6.025151365699608,-0.017735416966355565,0.1721014566504844,false,false,false,false,false,false,false,true,false,false,false,false,none,826,21,none,false,none,07,none,0,392,392,812,5967,392,826,0.0,0.0,0.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,4.0,1.0,1.0,1.0,5.0,0.0,0.0,0.79029584,0.20970415,0.6633548,-0.6633548,4
1937200491,528,1081 CN,"","De Cuserstraat, 93, 2nd floor, 207-208 office",2019-08-01,1,"","",0,8,"",0,2019-08-01 00:00:05,31,2019,"",VisaDebit,Visa,005,VISA.,"",14,VISA,false,11,2022,Debit,2,false,CLASSIC,2,Visa,CLASSIC,3,VisaDebit,DEBIT,NON USA CONSUMER DEBIT - NO PIN ACCESS,9,5651,1,ECOM,"","",Netherlands,826,United Kingdom,"","",0,0,00,Capture,Approved,"",0,"",475139,"","","","","",41.490841,false,false,false,"",United Kingdom,826,454313,5013093,38.000000,826,1937200287,"",21,F,Visa Classic,"",true,"","",2,Debit,"","","","",true,"","","","","","","",0.0,2019-08-01T00:00:05.000Z,2022-11-30,none,1564617605,41.490841,true,true,true,false,false,none,1217,3,212,657,113.3703477772,208.0315886029013,361.8996305297058,502.31271037103653,0.0044077018790729065,212,652,196.9198344529,326.35778306294804,67.77255521555249,160.12460052480543,0.0023023610023338464,0,742956,41.4908410000,0.0,742956.0,0.0,0.0,212,6,61.5036543563,272.5451822586085,4.182758341938528,7.44511834821789,0.0033354543401958167,108.74173748,96.82923522067246,229.22,253.64753706910795,-0.022249555119416346,-0.26413751392374907,107.03163166,94.79088932155473,145.32,134.9649145639907,-0.27542840237875477,0.4842943840627061,41.490841,0.0,0.0,0.0,0.0,0.0,68.45540416,153.6350725513314,7.56,7.494651153880836,0.02550677926533199,0.4536182636868183,false,false,false,false,false,false,false,false,true,false,false,false,none,528,21,none,false,none,none,none,none,826,826,none,5651,826,528,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,21.0,2.0,2.0,0.0,0.84792334,0.15207663,0.85920286,-0.85920286,5
1937200495,470,STJ 3148,"","GIG Beach, Triq Id-Dragunara",2019-08-01,1,"","",0,8,"",0,2019-08-01 00:00:06,31,2019,"",Visa,Visa,005,VISA.,VISA.,2,VISA,false,2,2022,Credit,1,false,CLASSIC,2,Visa,CLASSIC,3,Visa,CREDIT,"","",7995,1,ECOM,"","",Malta,280,Germany,M,M,1,1,00,Payment,Approved,07,0,00,454617,"","","","","",20.000000,false,false,false,"",Germany,280,429072,5012351,20.000000,978,"",812,21,F,Visa Classic,"",false,Foreign - EMEA,Transaction approved,1,Credit,"","","",0,true,"",1,1,1,1,"","",0.0,2019-08-01T00:00:06.000Z,2022-02-28,none,1564617606,20.0,true,false,true,false,none,none,942,2,212,0,43.8278367378,94.89397837661645,44.776528651677154,441.4826646833274,0.0011010132040027948,212,0,46.8645991003,149.40967876976453,1.1172713144741564,2.391880071693729,0.0023676831909992613,117,8332,29.0000000000,31.525602870740418,240910.75555555554,708404.5930496072,0.0,212,41,96.5838194451,203.06618887723783,11.921510076461875,20.77168302183323,0.003483803690893202,28.46994426,27.100638386046725,56.62,52.61678555792799,-0.16184264523980013,0.026826583002569505,40.19819914,44.307006747924554,1.28,1.7732709313351884,-0.044618260444644314,0.06803379795317781,29.0,31.525602870740418,240910.75555555554,708404.5930496072,0.0,0.0,56.6018057,62.38757697246281,27.66,30.704390432586916,-0.19689153554396413,0.7576896829686508,false,false,false,false,false,false,false,false,false,false,false,true,none,470,21,none,true,none,07,none,0,978,276,812,7995,276,470,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,1.0,0.0,8.0,1.0,0.0,0.8736064,0.12639359,0.9666146,-0.9666146,6
1937200493,470,STJ 3148,"","GIG Beach, Triq Id-Dragunara",2019-08-01,1,"","",0,8,"",0,2019-08-01 00:00:06,31,2019,"",VisaDebit,Visa,005,VISA.,VISA.,14,VISA,false,8,2021,Debit,2,false,CLASSIC,2,Visa,CLASSIC,3,VisaDebit,DEBIT,NON USA CONSUMER DEBIT - NO PIN ACCESS,9,7995,1,ECOM,"","",Malta,246,Finland,M,M,1,1,00,Payment,Approved,07,0,00,431871,"","","","","",45.000000,false,false,false,10605,Finland,246,492000,5012351,45.000000,978,"",812,21,F,Visa Classic,"",false,Foreign - EMEA,Transaction approved,2,Debit,"","","",0,true,"",1,1,1,1,"","",0.0,2019-08-01T00:00:06.000Z,2021-08-31,none,1564617606,45.0,true,false,true,false,false,none,761,2,212,93,43.8277784914,94.89386970645361,44.77641919689455,441.48213063722596,0.0011010132040027948,212,4,46.8645974617,149.40967436032184,1.1172712463240997,2.391880014661911,0.0023676831909992613,212,67375,22.4416118421,20.349738437854683,62281.37171052631,129196.91755111486,0.0,212,93,48.9172421283,112.82162892331124,45.54187935582845,66.91210706029082,5.220239614734843E-4,28.04994426,27.0017773808606,56.2,52.40384781011908,-0.1662682139553106,0.025875522496498098,39.9674424,44.38301165240109,1.26,1.7821106495801373,-0.04616270727601324,0.05967220462606476,23.02,15.187924849184954,45680.5,63971.24288917415,0.028422387819200687,-0.12849278469788897,34.5765432,47.47468515332769,50.88,54.26903503163942,-0.1271094830411274,0.07977809814540239,false,true,false,false,false,false,false,false,false,false,false,false,none,470,21,none,true,none,07,none,0,978,246,812,7995,246,470,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,1.0,0.0,20.0,1.0,0.0,0.87610537,0.12389464,0.97802746,-0.97802746,7
1937200521,826,SO30 2AF,"",Burlington House Grange Drive Hedge End,2019-08-01,1,"","",0,8,"",0,2019-08-01 00:00:10,31,2019,"",Visa,Visa,005,VISA.,VISA.,2,VISA,false,5,2020,Credit,1,false,CLASSIC,2,Visa,CLASSIC,3,Visa,CREDIT,"","",5817,1,ECOM,"","",United Kingdom,840,United States,"","",0,1,00,Payment,Approved,07,0,00,472526,"","","","","",8.941160,false,false,false,"",United States,840,402000,5014661,9.970000,840,"",102,21,B,Visa Traditional Rewards,"",true,Foreign - REST,Transaction approved,1,Credit,"","","",0,false,"",1,0,1,1,"","",0.0,2019-08-01T00:00:10.000Z,2020-05-31,none,1564617610,8.94116,false,true,false,false,none,none,304,2,212,66,27.2506602142,28.24030503333058,63.64448644760935,73.4958567170386,0.012271573751115334,212,46,22.7023600459,114.2175953196177,10.678611863499677,16.987159071630355,0.010960447082268336,183,15749588,8.7270420000,0.0,742956.0,0.0,0.0,212,10,51.7022158940,481.1411659037506,2.9408084103446726,4.268657647430613,0.0,28.64892072,52.46142826932652,55.16,68.61140501373795,0.04951293918920864,-0.1154416973500275,13.93195478,17.939690402628244,23.32,20.29923090932768,-0.07678681416254278,0.7441731771154279,8.727042,0.0,742956.0,0.0,0.0,0.0,63.69944248,119.17227704441764,2.36,2.0972284918288646,0.0249349410031566,-0.13606347904106866,false,false,false,false,false,false,false,false,true,false,false,false,none,826,21,none,true,none,07,none,0,840,840,102,5817,840,826,1.0,0.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.6145497,0.3854503,0.23323876,-0.23323876,8
1937200529,470,STJ 1081,"",62/63 Morina Court Suite 4,2019-08-01,1,"","",0,8,"",0,2019-08-01 00:00:11,31,2019,"",MasterCardDebit,Mastercard,010,MasterCard,"",16,MASTERCARD,false,3,2022,Debit,2,false,STANDARD,1,MasterCard,MASTERCARD STANDARD,33,MasterCardDebit,DEBIT,"","",7995,1,ECOM,"","",Malta,36,Australia,"","",0,0,00,Capture,Approved,"",0,"",551439,"","","","","",61.727025,false,false,false,"",Australia,36,0009415,5015131,100.000000,36,1937181161,"",21,MDS,Debit Mastercard Card,MDS,false,"","",2,Debit,"","","","",true,"","","","","","","",0.0,2019-08-01T00:00:11.000Z,2022-03-31,none,1564617611,61.727025,true,false,true,false,none,none,973,2,212,9,35.4628592129,67.52857236805188,30.761547620447075,120.71339506543957,0.0016408522487134226,212,0,46.8645948838,149.40966558062894,1.1172716589958025,2.3918801669516574,0.0023676831909992613,15,46505,50.6509187143,40.56577705265899,277479.71428571426,285368.7640835476,0.0,212,9,36.0627924954,122.19509682004883,5.084033501488415,7.275588255106401,0.005907451180179134,37.2584318,49.803210805958315,29.96,89.17832627691003,0.026589820044077988,-0.006640088450934131,39.94710368,44.559164977926564,1.36,1.8926280184776223,-0.046298819938573384,0.10148014284241666,50.6509187143,40.56577705265899,277479.71428571426,285368.7640835476,0.0,0.0,33.97869556,50.572137738118656,5.08,5.275434018318554,-0.01705548741017942,-5.543883665467243E-4,false,false,false,false,false,false,false,false,false,false,false,false,none,470,21,none,false,none,none,none,none,36,036,none,7995,036,470,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.8703463,0.12965368,0.9520122,-0.9520122,9
1937200531,528,1081 CN,"","De Cuserstraat, 93, 2nd floor, 207-208 office",2019-08-01,1,"","",0,8,"",0,2019-08-01 00:00:11,31,2019,"",VisaDebit,Visa,005,VISA.,"",14,VISA,false,1,2022,Debit,2,false,CLASSIC,2,Visa,CLASSIC,3,VisaDebit,DEBIT,NON USA CONSUMER DEBIT - NO PIN ACCESS,9,5699,1,ECOM,"","",Netherlands,554,New Zealand,"","",0,0,00,Capture,Approved,"",0,"",428455,"","","","","",87.161484,false,false,false,8323,New Zealand,554,499900,5013095,147.000000,554,1937158417,"",21,F,Visa Classic,"",true,"","",2,Debit,"","","","",true,"","","","","","","",0.0,2019-08-01T00:00:11.000Z,2022-01-31,none,1564617611,87.161484,true,true,true,false,false,none,914,2,212,426,77.2188061618,111.68046956240728,482.9914565974053,647.9514543818102,0.004751937545963682,212,32,69.4768655369,126.10153747210063,66.19647419796678,83.80925224263653,0.00423466717419232,194,16755684,34.9493920000,0.0,742956.0,0.0,0.0,212,45,26.3192344517,94.77491747806583,8.90447381137344,17.58366389167708,0.0035673829767182293,71.38941674,75.61410931061225,410.34,430.89260037882343,-0.05219703538712762,-0.11212484531996271,71.86411994,78.66805074700825,44.06,38.98634507158649,0.01893120774699651,-0.2641292411711224,34.949392,0.0,742956.0,0.0,0.0,0.0,19.23735156,29.5919673962831,4.9,10.740444257903992,-0.07472317655500985,-0.22773830505648415,false,true,false,false,false,false,false,false,false,false,true,false,none,528,21,none,false,none,none,none,none,554,554,none,5699,554,528,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,6.0,0.0,0.0,27.0,6.0,2.0,0.0,0.60916334,0.3908367,0.22189832,-0.22189832,10
